"","x","y","dem","carea","cslope","slope","plancurv","profcurv","slides","log.carea"
"177215",560308.1512,5200215.6622,375.897369384766,2282.75659179688,15.4910602828857,3.90699925950199,-0.096160002052784,-4.99999987368938e-05,"TRUE",3.35845960554403
"684260",562138.1512,5194995.6622,297.544494628906,1306.28601074219,12.5202737722569,12.0773769857166,0.0717199966311455,0.00371999992057681,"TRUE",3.1160382759344
"186829",559348.1512,5200115.6622,383.435577392578,879.650512695312,16.0410988318414,16.0789141741812,0.00680000009015203,-0.00052000000141561,"TRUE",2.94431016015552
"474446",561358.1512,5197155.6622,365.086578369141,1155.79089355469,13.0439571825264,18.1576054084464,0.00973000004887581,0.00524999992921948,"TRUE",3.06287926834932
"288625",557758.1512,5199065.6622,350.925811767578,2361.18334960938,11.2162216125195,14.4769240402059,-0.0103000001981854,-0.00718000018969178,"TRUE",3.3731297120393
"175272",560298.1512,5200235.6622,377.025634765625,120.034767150879,7.58195052591562,7.38084243599376,-0.0606100000441074,0.0149600002914667,"TRUE",2.07930705433834
"230247",556578.1512,5199665.6622,357.795379638672,1009.63220214844,12.0544591397302,11.7926170077086,-0.00553000019863248,-0.008220000192523,"TRUE",3.00416319391308
"284855",558898.1512,5199105.6622,355.949127197266,3912.32177734375,11.1881469737098,17.5130285036412,-0.0190399996936321,-0.00374999991618097,"TRUE",3.59243456707103
"174201",559298.1512,5200245.6622,365.102233886719,2773.369140625,14.5021342684325,10.0238968334515,0.0105600003153086,-0.00274999998509884,"TRUE",3.44300767883385
"399439",558958.1512,5197925.6622,362.910583496094,1190.8642578125,12.4704261979205,24.5403557161208,-0.00383999990299344,-0.00218999991193414,"TRUE",3.07586226069123
"386306",563568.1512,5198065.6622,360.901824951172,615.764221191406,10.8420800714855,3.72422553174657,0.0531900003552437,0.0052000000141561,"TRUE",2.78941445074035
"149833",558368.1512,5200495.6622,377.606170654297,730.175170898438,12.1421212026328,13.567640592796,-0.00387999997474253,-0.00482999999076128,"TRUE",2.86342706098137
"127824",561608.1512,5200725.6622,350.117156982422,4725.17919921875,11.6316157885931,5.28840032338202,-0.00768999988213181,-0.00394000019878149,"TRUE",3.6744182834815
"173234",559338.1512,5200255.6622,360.018615722656,203.548614501953,12.2292112371923,12.2945283362251,0.170729994773865,0.00982999987900257,"TRUE",2.30866815060535
"133654",561648.1512,5200665.6622,362.096008300781,2042.73010253906,12.1060253604165,12.189104366386,-0.0124800000339746,0.00377000006847084,"TRUE",3.31021098889325
"479151",559858.1512,5197105.6622,370.689819335938,1343.10827636719,15.3048488355436,19.4020692903173,-0.00233999988995492,-0.0065399999730289,"TRUE",3.12811102527728
